file,h_m,h_over_b,alpha_deg,CL_single_wing,single_wing_factor,CL_reference,CL_two_wings,CL_ratio_two_wings_over_main_wing,CL_ratio_signed_distance_to_1,CL_ratio_absolute_distance_to_1,CL_ratio_absolute_distance_to_1_percent,ratio_reference_over_two_wings,signed_distance_to_1,absolute_distance_to_1,absolute_distance_to_1_percent,CDi_single_wing,CDi_reference,CDi_two_wings,CL_over_CDi_single_wing,CL_over_CDi_two_wings,CL_over_CDi_ratio_two_wings_over_main_wing,CDi_ratio_reference_over_two_wings,CDi_signed_distance_to_1,CDi_absolute_distance_to_1,CDi_absolute_distance_to_1_percent
Volde h = 0_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,0.0,0.0,0.0,0.422227,1.0,0.422227,0.378537,0.8965248551134816,-0.10347514488651843,0.10347514488651843,10.347514488651843,1.1154180436786894,0.11541804367868935,0.11541804367868935,11.541804367868934,0.00323,0.00323,0.005083,130.72043343653252,74.47117843793036,0.5696980684667609,0.6354515050167224,-0.36454849498327757,0.36454849498327757,36.45484949832776
Volde h = 0_5_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,0.5,0.038461538461538464,0.0,0.422227,1.0,0.422227,0.387304,0.9172885675241043,-0.08271143247589574,0.08271143247589574,8.271143247589574,1.0901694792720964,0.0901694792720964,0.0901694792720964,9.016947927209639,0.00323,0.00323,0.004855,130.72043343653252,79.77425334706489,0.6102661324619685,0.6652935118434603,-0.3347064881565397,0.3347064881565397,33.470648815653966
Volde h = 0_75_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,0.75,0.057692307692307696,0.0,0.422227,1.0,0.422227,0.389992,0.923654811274504,-0.076345188725496,0.076345188725496,7.6345188725496005,1.0826555416521364,0.0826555416521364,0.0826555416521364,8.26555416521364,0.00323,0.00323,0.00476,130.72043343653252,81.93109243697478,0.6267657647934133,0.6785714285714285,-0.3214285714285715,0.3214285714285715,32.14285714285715
Volde h = 1_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,1.0,0.07692307692307693,0.0,0.422227,1.0,0.422227,0.392251,0.9290050138906323,-0.07099498610936772,0.07099498610936772,7.099498610936772,1.0764204552697125,0.07642045526971253,0.07642045526971253,7.642045526971253,0.00323,0.00323,0.004677,130.72043343653252,83.86807782766732,0.6415835353574391,0.6906136412230062,-0.30938635877699383,0.30938635877699383,30.938635877699383
Volde h = 1_4_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,1.4,0.10769230769230768,0.0,0.422227,1.0,0.422227,0.395294,0.9362120376006271,-0.0637879623993729,0.0637879623993729,6.37879623993729,1.0681340976589577,0.06813409765895773,0.06813409765895773,6.813409765895773,0.00323,0.00323,0.004561,130.72043343653252,86.66827450120587,0.6630047975115162,0.7081780311335233,-0.2918219688664767,0.2918219688664767,29.18219688664767
Volde h = 1_8_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,1.8,0.13846153846153847,0.0,0.422227,1.0,0.422227,0.397848,0.9422609165212077,-0.05773908347879231,0.05773908347879231,5.773908347879231,1.0612771711809537,0.06127717118095366,0.06127717118095366,6.127717118095366,0.00323,0.00323,0.00446,130.72043343653252,89.20358744394618,0.6823997220545965,0.7242152466367712,-0.27578475336322883,0.27578475336322883,27.57847533632288
Volde h = 2_2_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,2.2,0.16923076923076924,0.0,0.422227,1.0,0.422227,0.400046,0.9474666470879408,-0.052533352912059184,0.052533352912059184,5.253335291205918,1.055446123695775,0.05544612369577506,0.05544612369577506,5.544612369577506,0.00323,0.00323,0.00437,130.72043343653252,91.54370709382152,0.7003014348041302,0.7391304347826086,-0.26086956521739135,0.26086956521739135,26.086956521739136
Volde h =2_6_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,2.6,0.2,0.0,0.422227,1.0,0.422227,0.401962,0.9520044904755024,-0.047995509524497604,0.047995509524497604,4.79955095244976,1.050415213378379,0.050415213378379065,0.050415213378379065,5.0415213378379065,0.00323,0.00323,0.004289,130.72043343653252,93.71928188388901,0.7169443936199283,0.7530892982047096,-0.2469107017952904,0.2469107017952904,24.69107017952904
Volde h =3_0_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,3.0,0.23076923076923078,0.0,0.422227,1.0,0.422227,0.403648,0.9559976031850166,-0.04400239681498341,0.04400239681498341,4.400239681498341,1.0460277271285874,0.04602772712858738,0.04602772712858738,4.602772712858738,0.00323,0.00323,0.004215,130.72043343653252,95.76465005931199,0.7325912831050068,0.7663107947805456,-0.23368920521945435,0.23368920521945435,23.368920521945434
Volde h = 0_T1-55_6 m_s-VLM1-0_0kg-x0_0m.txt,0.0,0.0,4.0,0.805396,1.0,0.805396,0.722401,0.8969513133911765,-0.10304868660882349,0.10304868660882349,10.304868660882349,1.114887714718003,0.11488771471800296,0.11488771471800296,11.488771471800296,0.011651,0.011651,0.018458,69.12677023431465,39.13755553147687,0.5661707526449561,0.6312168165565067,-0.36878318344349326,0.36878318344349326,36.878318344349324
