xflr5 v6.59

Plane name :        Volde h = 1.4
Polar name :        T1-55.6 m/s-VLM1-0.0kg-x0.0m
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.214515   0.001358   0.005462   0.006820  -0.000000   0.000000  -0.800825   0.000000   0.000000   55.6000     2.8817
   -1.800     0.000   0.232615   0.001593   0.005323   0.006916  -0.000000   0.000000  -0.859844   0.000000   0.000000   55.6000     2.8487
   -1.600     0.000   0.250712   0.001848   0.005217   0.007064  -0.000000   0.000000  -0.918939   0.000000   0.000000   55.6000     2.8206
   -1.400     0.000   0.268805   0.002121   0.005139   0.007259  -0.000000   0.000000  -0.978109   0.000000   0.000000   55.6000     2.7962
   -1.200     0.000   0.286892   0.002413   0.005084   0.007496  -0.000000   0.000000  -1.037350   0.000000   0.000000   55.6000     2.7750
   -1.000     0.000   0.304975   0.002724   0.005042   0.007766  -0.000000   0.000000  -1.096661   0.000000   0.000000   55.6000     2.7563
   -0.800     0.000   0.323051   0.003054   0.005017   0.008071  -0.000000   0.000000  -1.156031   0.000000   0.000000   55.6000     2.7397
   -0.600     0.000   0.341122   0.003403   0.005005   0.008408  -0.000000   0.000000  -1.215467   0.000000   0.000000   55.6000     2.7248
   -0.400     0.000   0.359186   0.003770   0.005003   0.008773  -0.000000  -0.000000  -1.274971   0.000000   0.000000   55.6000     2.7115
   -0.200     0.000   0.377244   0.004156   0.005005   0.009161  -0.000000  -0.000000  -1.334548   0.000000   0.000000   55.6000     2.6995
    0.000     0.000   0.395294   0.004561   0.005006   0.009567  -0.000000   0.000000  -1.394203   0.000000   0.000000   55.6000     2.6886
    0.200     0.000   0.413336   0.004985   0.005013   0.009998  -0.000000   0.000000  -1.453924   0.000000   0.000000   55.6000     2.6786
    0.400     0.000   0.431370   0.005427   0.005023   0.010450  -0.000000  -0.000000  -1.513711   0.000000   0.000000   55.6000     2.6695
    0.600     0.000   0.449396   0.005888   0.005034   0.010923  -0.000000   0.000000  -1.573565   0.000000   0.000000   55.6000     2.6612
    0.800     0.000   0.467412   0.006368   0.005048   0.011416  -0.000000  -0.000000  -1.633481   0.000000   0.000000   55.6000     2.6535
    1.000     0.000   0.485419   0.006866   0.005067   0.011933  -0.000000   0.000000  -1.693458   0.000000   0.000000   55.6000     2.6464
    1.200     0.000   0.503417   0.007383   0.005090   0.012472  -0.000000  -0.000000  -1.753493   0.000000   0.000000   55.6000     2.6399
    1.400     0.000   0.521404   0.007918   0.005112   0.013030  -0.000000   0.000000  -1.813580   0.000000   0.000000   55.6000     2.6338
    1.600     0.000   0.539381   0.008471   0.005145   0.013616  -0.000000  -0.000000  -1.873720   0.000000   0.000000   55.6000     2.6281
    1.800     0.000   0.557346   0.009043   0.005180   0.014223  -0.000000   0.000000  -1.933909   0.000000   0.000000   55.6000     2.6228
    2.000     0.000   0.575300   0.009633   0.005224   0.014857  -0.000000  -0.000000  -1.994146   0.000000   0.000000   55.6000     2.6179
    2.200     0.000   0.593243   0.010241   0.005284   0.015526  -0.000000   0.000000  -2.054424   0.000000   0.000000   55.6000     2.6133
    2.400     0.000   0.611173   0.010868   0.005378   0.016246  -0.000000   0.000000  -2.114738   0.000000   0.000000   55.6000     2.6090
    2.600     0.000   0.629090   0.011512   0.005500   0.017013  -0.000000   0.000000  -2.175092   0.000000   0.000000   55.6000     2.6049
    2.800     0.000   0.646994   0.012175   0.005643   0.017818  -0.000000  -0.000000  -2.235481   0.000000   0.000000   55.6000     2.6011
    3.000     0.000   0.664885   0.012856   0.005796   0.018651  -0.000000  -0.000000  -2.295895   0.000000   0.000000   55.6000     2.5976
    3.200     0.000   0.682762   0.013554   0.005954   0.019508  -0.000000  -0.000000  -2.356336   0.000000   0.000000   55.6000     2.5942
    3.400     0.000   0.700624   0.014271   0.006122   0.020393  -0.000000  -0.000000  -2.416800   0.000000   0.000000   55.6000     2.5910
    3.600     0.000   0.718472   0.015005   0.006304   0.021308  -0.000000   0.000000  -2.477276   0.000000   0.000000   55.6000     2.5880
    3.800     0.000   0.736304   0.015757   0.006500   0.022257  -0.000000  -0.000000  -2.537748   0.000000   0.000000   55.6000     2.5852
    4.000     0.000   0.754122   0.016526   0.006710   0.023236  -0.000000   0.000000  -2.598203  -0.000000   0.000000   55.6000     2.5826
