xflr5 v6.59

Plane name :        Volde h = 0.5
Polar name :        T1-55.6 m/s-VLM1-0.0kg-x0.0m
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.210099   0.001442   0.005503   0.006945   0.000000  -0.000000  -0.776869  -0.000000  -0.000000   55.6000     2.8286
   -1.800     0.000   0.227843   0.001693   0.005363   0.007056   0.000000  -0.000000  -0.833083  -0.000000  -0.000000   55.6000     2.7949
   -1.600     0.000   0.245582   0.001964   0.005253   0.007217   0.000000  -0.000000  -0.889317  -0.000000  -0.000000   55.6000     2.7661
   -1.400     0.000   0.263317   0.002255   0.005173   0.007428   0.000000  -0.000000  -0.945566  -0.000000  -0.000000   55.6000     2.7412
   -1.200     0.000   0.281048   0.002566   0.005114   0.007679   0.000000  -0.000000  -1.001829   0.000000  -0.000000   55.6000     2.7195
   -1.000     0.000   0.298773   0.002897   0.005069   0.007966   0.000000  -0.000000  -1.058104   0.000000  -0.000000   55.6000     2.7003
   -0.800     0.000   0.316492   0.003249   0.005035   0.008284  -0.000000  -0.000000  -1.114389  -0.000000  -0.000000   55.6000     2.6833
   -0.600     0.000   0.334205   0.003620   0.005017   0.008637   0.000000  -0.000000  -1.170679  -0.000000  -0.000000   55.6000     2.6682
   -0.400     0.000   0.351912   0.004011   0.005009   0.009020  -0.000000  -0.000000  -1.226977  -0.000000  -0.000000   55.6000     2.6545
   -0.200     0.000   0.369612   0.004423   0.005009   0.009432  -0.000000  -0.000000  -1.283279   0.000000  -0.000000   55.6000     2.6422
    0.000     0.000   0.387304   0.004855   0.005011   0.009865  -0.000000  -0.000000  -1.339589  -0.000000  -0.000000   55.6000     2.6311
    0.200     0.000   0.404989   0.005306   0.005014   0.010320  -0.000000  -0.000000  -1.395903   0.000000   0.000000   55.6000     2.6209
    0.400     0.000   0.422665   0.005777   0.005021   0.010798  -0.000000  -0.000000  -1.452218  -0.000000   0.000000   55.6000     2.6116
    0.600     0.000   0.440332   0.006269   0.005031   0.011300  -0.000000  -0.000000  -1.508530   0.000000   0.000000   55.6000     2.6031
    0.800     0.000   0.457991   0.006780   0.005044   0.011823  -0.000000  -0.000000  -1.564838   0.000000   0.000000   55.6000     2.5953
    1.000     0.000   0.475640   0.007310   0.005063   0.012373  -0.000000  -0.000000  -1.621140   0.000000   0.000000   55.6000     2.5880
    1.200     0.000   0.493279   0.007861   0.005084   0.012945  -0.000000  -0.000000  -1.677434   0.000000   0.000000   55.6000     2.5813
    1.400     0.000   0.510908   0.008431   0.005104   0.013536  -0.000000  -0.000000  -1.733715   0.000000   0.000000   55.6000     2.5751
    1.600     0.000   0.528526   0.009021   0.005137   0.014158  -0.000000  -0.000000  -1.789983   0.000000   0.000000   55.6000     2.5693
    1.800     0.000   0.546132   0.009631   0.005170   0.014800  -0.000000  -0.000000  -1.846233   0.000000   0.000000   55.6000     2.5639
    2.000     0.000   0.563727   0.010259   0.005214   0.015473  -0.000000  -0.000000  -1.902464  -0.000000  -0.000000   55.6000     2.5589
    2.200     0.000   0.581310   0.010908   0.005274   0.016182  -0.000000  -0.000000  -1.958673   0.000000   0.000000   55.6000     2.5542
    2.400     0.000   0.598881   0.011576   0.005367   0.016942  -0.000000  -0.000000  -2.014856   0.000000   0.000000   55.6000     2.5498
    2.600     0.000   0.616439   0.012263   0.005490   0.017753  -0.000000  -0.000000  -2.071012   0.000000   0.000000   55.6000     2.5457
    2.800     0.000   0.633983   0.012969   0.005632   0.018601  -0.000000  -0.000000  -2.127138   0.000000   0.000000   55.6000     2.5418
    3.000     0.000   0.651514   0.013694   0.005778   0.019472  -0.000000  -0.000000  -2.183231   0.000000   0.000000   55.6000     2.5381
    3.200     0.000   0.669030   0.014439   0.005932   0.020370  -0.000000  -0.000000  -2.239288   0.000000   0.000000   55.6000     2.5347
    3.400     0.000   0.686532   0.015203   0.006093   0.021296  -0.000000  -0.000000  -2.295307   0.000000   0.000000   55.6000     2.5315
    3.600     0.000   0.704019   0.015985   0.006260   0.022245  -0.000000  -0.000000  -2.351285   0.000000   0.000000   55.6000     2.5284
    3.800     0.000   0.721491   0.016787   0.006430   0.023217  -0.000000  -0.000000  -2.407218   0.000000   0.000000   55.6000     2.5256
    4.000     0.000   0.738947   0.017607   0.006595   0.024202  -0.000000  -0.000000  -2.463104   0.000000   0.000000   55.6000     2.5229
    4.200     0.000   0.756387   0.018446   0.006775   0.025221  -0.000000  -0.000000  -2.518939   0.000000   0.000000   55.6000     2.5203
    4.400     0.000   0.773810   0.019303   0.006974   0.026277  -0.000000  -0.000000  -2.574721   0.000000   0.000000   55.6000     2.5179
    4.600     0.000   0.791216   0.020179   0.007185   0.027364  -0.000000  -0.000000  -2.630450   0.000000   0.000000   55.6000     2.5156
    4.800     0.000   0.808604   0.021074   0.007402   0.028476  -0.000000  -0.000000  -2.686124   0.000000   0.000000   55.6000     2.5134
    5.000     0.000   0.825975   0.021987   0.007623   0.029609  -0.000000  -0.000000  -2.741744   0.000000   0.000000   55.6000     2.5113
    5.200     0.000   0.843328   0.022918   0.007843   0.030761  -0.000000  -0.000000  -2.797305   0.000000   0.000000   55.6000     2.5094
    5.400     0.000   0.860662   0.023867   0.008070   0.031938  -0.000000  -0.000000  -2.852806   0.000000   0.000000   55.6000     2.5075
    5.600     0.000   0.877977   0.024835   0.008297   0.033131  -0.000000  -0.000000  -2.908244   0.000000   0.000000   55.6000     2.5058
    5.800     0.000   0.895272   0.025820   0.008519   0.034339  -0.000000  -0.000000  -2.963615   0.000000   0.000000   55.6000     2.5041
    6.000     0.000   0.912548   0.026823   0.008722   0.035545  -0.000000  -0.000000  -3.018918   0.000000   0.000000   55.6000     2.5026
    6.200     0.000   0.929803   0.027844   0.008922   0.036766  -0.000000  -0.000000  -3.074149   0.000000   0.000000   55.6000     2.5011
    6.400     0.000   0.947038   0.028882   0.009112   0.037994  -0.000000  -0.000000  -3.129305   0.000000   0.000000   55.6000     2.4997
    6.600     0.000   0.964251   0.029939   0.009299   0.039237  -0.000000  -0.000000  -3.184384   0.000000   0.000000   55.6000     2.4983
    6.800     0.000   0.981443   0.031012   0.009491   0.040503  -0.000000  -0.000000  -3.239382   0.000000   0.000000   55.6000     2.4971
    7.000     0.000   0.998614   0.032103   0.009673   0.041775  -0.000000  -0.000000  -3.294296   0.000000  -0.000000   55.6000     2.4959
    7.200     0.000   1.015762   0.033211   0.009863   0.043074  -0.000000  -0.000000  -3.349125   0.000000   0.000000   55.6000     2.4948
    7.400     0.000   1.032887   0.034336   0.010047   0.044383  -0.000000  -0.000000  -3.403864   0.000000   0.000000   55.6000     2.4937
    7.600     0.000   1.049990   0.035477   0.010240   0.045718  -0.000000  -0.000000  -3.458511   0.000000   0.000000   55.6000     2.4927
    7.800     0.000   1.067069   0.036636   0.010434   0.047070  -0.000000  -0.000000  -3.513065   0.000000   0.000000   55.6000     2.4917
    8.000     0.000   1.084124   0.037811   0.010635   0.048446  -0.000000  -0.000000  -3.567522   0.000000   0.000000   55.6000     2.4909
    8.200     0.000   1.101155   0.039003   0.010838   0.049842  -0.000000  -0.000000  -3.621881   0.000000   0.000000   55.6000     2.4900
    8.400     0.000   1.118162   0.040212   0.011030   0.051242  -0.000000  -0.000000  -3.676136   0.000000   0.000000   55.6000     2.4892
    8.600     0.000   1.135144   0.041436   0.011233   0.052669  -0.000000  -0.000000  -3.730285   0.000000   0.000000   55.6000     2.4885
    8.800     0.000   1.152100   0.042677   0.011449   0.054126  -0.000000  -0.000000  -3.784326   0.000000   0.000000   55.6000     2.4878
    9.000     0.000   1.169030   0.043934   0.011657   0.055591  -0.000000  -0.000000  -3.838257   0.000000   0.000000   55.6000     2.4871
    9.200     0.000   1.185935   0.045207   0.011868   0.057074  -0.000000  -0.000000  -3.892074   0.000000   0.000000   55.6000     2.4865
    9.400     0.000   1.202813   0.046495   0.012088   0.058583  -0.000000  -0.000000  -3.945774   0.000000   0.000000   55.6000     2.4860
    9.600     0.000   1.219664   0.047799   0.012331   0.060130  -0.000000  -0.000000  -3.999357   0.000000   0.000000   55.6000     2.4854
    9.800     0.000   1.236488   0.049119   0.012581   0.061699  -0.000000  -0.000000  -4.052821   0.000000   0.000000   55.6000     2.4849
   10.000     0.000   1.253284   0.050453   0.012818   0.063271  -0.000000  -0.000000  -4.106159   0.000000   0.000000   55.6000     2.4845
   10.200     0.000   1.270053   0.051803   0.013068   0.064871  -0.000000  -0.000000  -4.159373   0.000000   0.000000   55.6000     2.4841
   10.400     0.000   1.286793   0.053168   0.013334   0.066502  -0.000000  -0.000000  -4.212461   0.000000   0.000000   55.6000     2.4837
   10.600     0.000   1.303504   0.054548   0.013624   0.068172  -0.000000  -0.000000  -4.265418   0.000000   0.000000   55.6000     2.4834
   10.800     0.000   1.320187   0.055943   0.013941   0.069884  -0.000000  -0.000000  -4.318247   0.000000   0.000000   55.6000     2.4831
   11.000     0.000   1.336840   0.057352   0.014245   0.071597  -0.000000  -0.000000  -4.370939   0.000000   0.000000   55.6000     2.4828
   11.200     0.000   1.353463   0.058775   0.014555   0.073330  -0.000000  -0.000000  -4.423494   0.000000   0.000000   55.6000     2.4825
   11.400     0.000   1.370056   0.060213   0.014884   0.075097  -0.000000  -0.000000  -4.475913   0.000000   0.000000   55.6000     2.4823
   11.600     0.000   1.386618   0.061665   0.015236   0.076901  -0.000000  -0.000000  -4.528189   0.000000   0.000000   55.6000     2.4821
   11.800     0.000   1.403150   0.063130   0.015626   0.078756  -0.000000  -0.000000  -4.580321   0.000000   0.000000   55.6000     2.4820
   12.000     0.000   1.419650   0.064610   0.016022   0.080631  -0.000000  -0.000000  -4.632310   0.000000   0.000000   55.6000     2.4819
   12.200     0.000   1.436119   0.066103   0.016424   0.082527  -0.000000  -0.000000  -4.684156   0.000000   0.000000   55.6000     2.4818
   12.400     0.000   1.452556   0.067609   0.016858   0.084467  -0.000000  -0.000000  -4.735853   0.000000   0.000000   55.6000     2.4817
   12.600     0.000   1.468961   0.069129   0.017339   0.086468  -0.000000  -0.000000  -4.787394   0.000000   0.000000   55.6000     2.4817
   12.800     0.000   1.485333   0.070661   0.017832   0.088493  -0.000000  -0.000000  -4.838778   0.000000   0.000000   55.6000     2.4816
   13.000     0.000   1.501672   0.072207   0.018343   0.090550  -0.000000  -0.000000  -4.890008   0.000000   0.000000   55.6000     2.4816
   13.200     0.000   1.517978   0.073765   0.018942   0.092707  -0.000000  -0.000000  -4.941086   0.000000   0.000000   55.6000     2.4817
   13.400     0.000   1.534250   0.075336   0.019583   0.094919  -0.000000  -0.000000  -4.992009   0.000000   0.000000   55.6000     2.4817
   13.600     0.000   1.550488   0.076919   0.020340   0.097259  -0.000000  -0.000000  -5.042778   0.000000   0.000000   55.6000     2.4818
   13.800     0.000   1.566692   0.078514   0.021144   0.099658  -0.000000  -0.000000  -5.093377   0.000000   0.000000   55.6000     2.4819
   14.000     0.000   1.582861   0.080122   0.022112   0.102233  -0.000000  -0.000000  -5.143815   0.000000   0.000000   55.6000     2.4820
   14.200     0.000   1.598995   0.081741   0.023156   0.104897  -0.000000  -0.000000  -5.194089   0.000000   0.000000   55.6000     2.4822
