xflr5 v6.59

Plane name :        Volde h = 1.8
Polar name :        T1-55.6 m/s-VLM1-0.0kg-x0.0m
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.215949   0.001329   0.005448   0.006777  -0.000000   0.000000  -0.808360   0.000000   0.000000   55.6000     2.9009
   -1.800     0.000   0.234162   0.001559   0.005309   0.006868  -0.000000   0.000000  -0.868364   0.000000   0.000000   55.6000     2.8682
   -1.600     0.000   0.252370   0.001808   0.005203   0.007011  -0.000000   0.000000  -0.928470   0.000000   0.000000   55.6000     2.8403
   -1.400     0.000   0.270575   0.002075   0.005126   0.007201  -0.000000   0.000000  -0.988678   0.000000   0.000000   55.6000     2.8162
   -1.200     0.000   0.288774   0.002360   0.005072   0.007433  -0.000000   0.000000  -1.048983   0.000000   0.000000   55.6000     2.7951
   -1.000     0.000   0.306969   0.002665   0.005034   0.007699  -0.000000   0.000000  -1.109380   0.000000   0.000000   55.6000     2.7765
   -0.800     0.000   0.325158   0.002987   0.005012   0.007999  -0.000000   0.000000  -1.169864   0.000000   0.000000   55.6000     2.7600
   -0.600     0.000   0.343340   0.003328   0.005002   0.008330  -0.000000   0.000000  -1.230439   0.000000   0.000000   55.6000     2.7453
   -0.400     0.000   0.361517   0.003687   0.005001   0.008688  -0.000000   0.000000  -1.291115   0.000000   0.000000   55.6000     2.7321
   -0.200     0.000   0.379686   0.004065   0.005003   0.009068  -0.000000   0.000000  -1.351900   0.000000   0.000000   55.6000     2.7201
    0.000     0.000   0.397848   0.004460   0.005006   0.009466  -0.000000   0.000000  -1.412789   0.000000   0.000000   55.6000     2.7093
    0.200     0.000   0.416003   0.004874   0.005013   0.009887  -0.000000   0.000000  -1.473777   0.000000   0.000000   55.6000     2.6994
    0.400     0.000   0.434149   0.005307   0.005024   0.010330  -0.000000   0.000000  -1.534862   0.000000   0.000000   55.6000     2.6904
    0.600     0.000   0.452287   0.005757   0.005036   0.010793  -0.000000   0.000000  -1.596044   0.000000   0.000000   55.6000     2.6821
    0.800     0.000   0.470416   0.006226   0.005050   0.011275  -0.000000   0.000000  -1.657321   0.000000   0.000000   55.6000     2.6745
    1.000     0.000   0.488536   0.006713   0.005069   0.011781  -0.000000   0.000000  -1.718690   0.000000   0.000000   55.6000     2.6675
    1.200     0.000   0.506646   0.007218   0.005092   0.012309  -0.000000   0.000000  -1.780146   0.000000   0.000000   55.6000     2.6609
    1.400     0.000   0.524745   0.007740   0.005114   0.012855  -0.000000   0.000000  -1.841687   0.000000   0.000000   55.6000     2.6549
    1.600     0.000   0.542834   0.008281   0.005147   0.013429  -0.000000   0.000000  -1.903312   0.000000   0.000000   55.6000     2.6493
    1.800     0.000   0.560913   0.008840   0.005183   0.014023  -0.000000   0.000000  -1.965017  -0.000000   0.000000   55.6000     2.6440
    2.000     0.000   0.578979   0.009417   0.005226   0.014643  -0.000000   0.000000  -2.026800  -0.000000   0.000000   55.6000     2.6392
    2.200     0.000   0.597034   0.010011   0.005288   0.015299  -0.000000   0.000000  -2.088651  -0.000000   0.000000   55.6000     2.6346
    2.400     0.000   0.615077   0.010623   0.005379   0.016003  -0.000000   0.000000  -2.150570   0.000000   0.000000   55.6000     2.6303
    2.600     0.000   0.633107   0.011253   0.005499   0.016752  -0.000000   0.000000  -2.212563  -0.000000  -0.000000   55.6000     2.6263
    2.800     0.000   0.651124   0.011901   0.005645   0.017546  -0.000000   0.000000  -2.274614  -0.000000  -0.000000   55.6000     2.6225
    3.000     0.000   0.669128   0.012566   0.005800   0.018366  -0.000000   0.000000  -2.336719   0.000000  -0.000000   55.6000     2.6190
    3.200     0.000   0.687118   0.013248   0.005959   0.019208  -0.000000   0.000000  -2.398884  -0.000000  -0.000000   55.6000     2.6156
    3.400     0.000   0.705094   0.013948   0.006133   0.020082  -0.000000   0.000000  -2.461091  -0.000000  -0.000000   55.6000     2.6125
    3.600     0.000   0.723055   0.014666   0.006327   0.020992  -0.000000   0.000000  -2.523326  -0.000000   0.000000   55.6000     2.6095
    3.800     0.000   0.741001   0.015400   0.006542   0.021943  -0.000000   0.000000  -2.585564  -0.000000   0.000000   55.6000     2.6067
    4.000     0.000   0.758931   0.016152   0.006773   0.022925  -0.000000   0.000000  -2.647800  -0.000000   0.000000   55.6000     2.6040
    4.200     0.000   0.776846   0.016921   0.007018   0.023940  -0.000000   0.000000  -2.710052  -0.000000  -0.000000   55.6000     2.6015
    4.400     0.000   0.794744   0.017707   0.007263   0.024971  -0.000000   0.000000  -2.772341  -0.000000  -0.000000   55.6000     2.5992
    4.600     0.000   0.812626   0.018510   0.007503   0.026014  -0.000000   0.000000  -2.834674  -0.000000  -0.000000   55.6000     2.5969
    4.800     0.000   0.830491   0.019330   0.007738   0.027068  -0.000000   0.000000  -2.897050  -0.000000  -0.000000   55.6000     2.5948
    5.000     0.000   0.848338   0.020167   0.007971   0.028138  -0.000000   0.000000  -2.959464  -0.000000  -0.000000   55.6000     2.5928
    5.200     0.000   0.866168   0.021020   0.008205   0.029226  -0.000000   0.000000  -3.021909  -0.000000  -0.000000   55.6000     2.5909
    5.400     0.000   0.883979   0.021890   0.008439   0.030329  -0.000000   0.000000  -3.084398  -0.000000  -0.000000   55.6000     2.5890
    5.600     0.000   0.901772   0.022777   0.008663   0.031440  -0.000000   0.000000  -3.146932  -0.000000   0.000000   55.6000     2.5873
    5.800     0.000   0.919546   0.023680   0.008874   0.032554  -0.000000   0.000000  -3.209503  -0.000000  -0.000000   55.6000     2.5857
    6.000     0.000   0.937300   0.024599   0.009072   0.033671  -0.000000   0.000000  -3.272103  -0.000000  -0.000000   55.6000     2.5842
    6.200     0.000   0.955035   0.025535   0.009262   0.034797  -0.000000   0.000000  -3.334727  -0.000000  -0.000000   55.6000     2.5827
    6.400     0.000   0.972749   0.026487   0.009449   0.035936  -0.000000   0.000000  -3.397376  -0.000000  -0.000000   55.6000     2.5813
    6.600     0.000   0.990443   0.027455   0.009625   0.037080  -0.000000  -0.000000  -3.460042  -0.000000  -0.000000   55.6000     2.5800
    6.800     0.000   1.008116   0.028438   0.009808   0.038246  -0.000000   0.000000  -3.522726  -0.000000  -0.000000   55.6000     2.5788
    7.000     0.000   1.025767   0.029438   0.009986   0.039424  -0.000000   0.000000  -3.585416  -0.000000  -0.000000   55.6000     2.5776
    7.200     0.000   1.043397   0.030453   0.010176   0.040629  -0.000000   0.000000  -3.648104  -0.000000  -0.000000   55.6000     2.5765
    7.400     0.000   1.061005   0.031484   0.010371   0.041855  -0.000000   0.000000  -3.710788  -0.000000  -0.000000   55.6000     2.5754
    7.600     0.000   1.078590   0.032531   0.010565   0.043095  -0.000000   0.000000  -3.773479  -0.000000  -0.000000   55.6000     2.5744
    7.800     0.000   1.096153   0.033593   0.010764   0.044356  -0.000000   0.000000  -3.836165  -0.000000  -0.000000   55.6000     2.5735
    8.000     0.000   1.113692   0.034670   0.010953   0.045623  -0.000000   0.000000  -3.898855  -0.000000   0.000000   55.6000     2.5726
    8.200     0.000   1.131207   0.035762   0.011149   0.046911  -0.000000   0.000000  -3.961535   0.000000   0.000000   55.6000     2.5717
    8.400     0.000   1.148699   0.036869   0.011339   0.048208  -0.000000   0.000000  -4.024198  -0.000000  -0.000000   55.6000     2.5709
    8.600     0.000   1.166166   0.037991   0.011528   0.049519  -0.000000   0.000000  -4.086853  -0.000000  -0.000000   55.6000     2.5702
    8.800     0.000   1.183608   0.039129   0.011740   0.050868  -0.000000   0.000000  -4.149482   0.000000   0.000000   55.6000     2.5695
    9.000     0.000   1.201026   0.040280   0.011953   0.052233  -0.000000   0.000000  -4.212085  -0.000000  -0.000000   55.6000     2.5688
    9.200     0.000   1.218417   0.041446   0.012161   0.053608  -0.000000   0.000000  -4.274662  -0.000000  -0.000000   55.6000     2.5682
    9.400     0.000   1.235783   0.042627   0.012387   0.055014  -0.000000   0.000000  -4.337202  -0.000000  -0.000000   55.6000     2.5676
    9.600     0.000   1.253123   0.043822   0.012631   0.056453  -0.000000   0.000000  -4.399709   0.000000   0.000000   55.6000     2.5671
    9.800     0.000   1.270436   0.045031   0.012897   0.057928  -0.000000   0.000000  -4.462174   0.000000   0.000000   55.6000     2.5666
   10.000     0.000   1.287723   0.046254   0.013154   0.059409  -0.000000   0.000000  -4.524597  -0.000000  -0.000000   55.6000     2.5661
   10.200     0.000   1.304981   0.047491   0.013415   0.060906  -0.000000   0.000000  -4.586978   0.000000  -0.000000   55.6000     2.5657
   10.400     0.000   1.322213   0.048742   0.013697   0.062439  -0.000000  -0.000000  -4.649305   0.000000   0.000000   55.6000     2.5653
   10.600     0.000   1.339416   0.050006   0.013999   0.064005  -0.000000   0.000000  -4.711584  -0.000000  -0.000000   55.6000     2.5649
   10.800     0.000   1.356591   0.051284   0.014327   0.065611  -0.000000   0.000000  -4.773816  -0.000000  -0.000000   55.6000     2.5646
   11.000     0.000   1.373737   0.052575   0.014659   0.067235  -0.000000   0.000000  -4.835986  -0.000000  -0.000000   55.6000     2.5643
   11.200     0.000   1.390854   0.053880   0.014995   0.068875  -0.000000   0.000000  -4.898093   0.000000  -0.000000   55.6000     2.5640
   11.400     0.000   1.407941   0.055197   0.015342   0.070539  -0.000000   0.000000  -4.960141   0.000000  -0.000000   55.6000     2.5638
   11.600     0.000   1.424999   0.056527   0.015703   0.072231  -0.000000  -0.000000  -5.022130   0.000000  -0.000000   55.6000     2.5636
   11.800     0.000   1.442026   0.057870   0.016101   0.073971  -0.000000   0.000000  -5.084055  -0.000000  -0.000000   55.6000     2.5634
   12.000     0.000   1.459023   0.059226   0.016526   0.075752  -0.000000   0.000000  -5.145908   0.000000   0.000000   55.6000     2.5633
   12.200     0.000   1.475990   0.060594   0.016947   0.077541  -0.000000   0.000000  -5.207681   0.000000   0.000000   55.6000     2.5631
   12.400     0.000   1.492925   0.061974   0.017397   0.079371  -0.000000   0.000000  -5.269373   0.000000   0.000000   55.6000     2.5630
   12.600     0.000   1.509828   0.063366   0.017889   0.081256  -0.000000   0.000000  -5.330991   0.000000   0.000000   55.6000     2.5629
   12.800     0.000   1.526700   0.064771   0.018420   0.083191  -0.000000   0.000000  -5.392536   0.000000   0.000000   55.6000     2.5629
   13.000     0.000   1.543539   0.066187   0.018947   0.085134  -0.000000   0.000000  -5.453995   0.000000   0.000000   55.6000     2.5629
   13.200     0.000   1.560346   0.067615   0.019539   0.087153  -0.000000   0.000000  -5.515368   0.000000   0.000000   55.6000     2.5629
   13.400     0.000   1.577120   0.069054   0.020202   0.089256  -0.000000  -0.000000  -5.576650   0.000000   0.000000   55.6000     2.5629
   13.600     0.000   1.593861   0.070505   0.020944   0.091449  -0.000000   0.000000  -5.637834   0.000000   0.000000   55.6000     2.5629
   13.800     0.000   1.610568   0.071966   0.021780   0.093746  -0.000000   0.000000  -5.698929   0.000000   0.000000   55.6000     2.5630
   14.000     0.000   1.627241   0.073439   0.022732   0.096171  -0.000000   0.000000  -5.759940   0.000000   0.000000   55.6000     2.5630
   14.200     0.000   1.643881   0.074923   0.023773   0.098695  -0.000000   0.000000  -5.820857   0.000000  -0.000000   55.6000     2.5631
   14.400     0.000   1.660485   0.076417   0.024993   0.101410  -0.000000   0.000000  -5.881681   0.000000  -0.000000   55.6000     2.5633


