xflr5 v6.59

Plane name :        Volde h = 1
Polar name :        T1-55.6 m/s-VLM1-0.0kg-x0.0m
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.212822   0.001391   0.005477   0.006868   0.000000  -0.000000  -0.791792  -0.000000  -0.000000   55.6000     2.8604
   -1.800     0.000   0.230788   0.001632   0.005339   0.006971   0.000000  -0.000000  -0.849699  -0.000000  -0.000000   55.6000     2.8272
   -1.600     0.000   0.248750   0.001893   0.005232   0.007125   0.000000  -0.000000  -0.907657  -0.000000  -0.000000   55.6000     2.7988
   -1.400     0.000   0.266707   0.002174   0.005153   0.007326   0.000000  -0.000000  -0.965664  -0.000000  -0.000000   55.6000     2.7742
   -1.200     0.000   0.284660   0.002473   0.005096   0.007569   0.000000  -0.000000  -1.023716   0.000000  -0.000000   55.6000     2.7528
   -1.000     0.000   0.302607   0.002792   0.005052   0.007845   0.000000  -0.000000  -1.081812   0.000000  -0.000000   55.6000     2.7339
   -0.800     0.000   0.320549   0.003131   0.005024   0.008155   0.000000  -0.000000  -1.139945  -0.000000  -0.000000   55.6000     2.7171
   -0.600     0.000   0.338485   0.003488   0.005009   0.008497   0.000000  -0.000000  -1.198117  -0.000000  -0.000000   55.6000     2.7021
   -0.400     0.000   0.356414   0.003865   0.005005   0.008870   0.000000  -0.000000  -1.256326   0.000000  -0.000000   55.6000     2.6887
   -0.200     0.000   0.374336   0.004262   0.005007   0.009269   0.000000  -0.000000  -1.314578  -0.000000  -0.000000   55.6000     2.6766
    0.000     0.000   0.392251   0.004677   0.005008   0.009685   0.000000  -0.000000  -1.372876   0.000000  -0.000000   55.6000     2.6656
    0.200     0.000   0.410158   0.005112   0.005013   0.010125   0.000000  -0.000000  -1.431213   0.000000  -0.000000   55.6000     2.6555
    0.400     0.000   0.428057   0.005566   0.005022   0.010588   0.000000  -0.000000  -1.489586  -0.000000  -0.000000   55.6000     2.6464
    0.600     0.000   0.445947   0.006039   0.005033   0.011072  -0.000000  -0.000000  -1.547993   0.000000   0.000000   55.6000     2.6379
