xflr5 v6.59

Plane name :        Volde h = 0.75
Polar name :        T1-55.6 m/s-VLM1-0.0kg-x0.0m
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    7.000     0.000   1.005583   0.031467   0.009760   0.041227  -0.000000  -0.000000  -3.359506   0.000000   0.000000   55.6000     2.5151
    7.200     0.000   1.022855   0.032553   0.009948   0.042501  -0.000000  -0.000000  -3.415980   0.000000   0.000000   55.6000     2.5140
    7.400     0.000   1.040105   0.033655   0.010132   0.043788  -0.000000  -0.000000  -3.472382   0.000000   0.000000   55.6000     2.5129
    7.600     0.000   1.057331   0.034775   0.010326   0.045101  -0.000000  -0.000000  -3.528708   0.000000   0.000000   55.6000     2.5119
    7.800     0.000   1.074535   0.035910   0.010523   0.046433  -0.000000  -0.000000  -3.584956   0.000000   0.000000   55.6000     2.5110
    8.000     0.000   1.091714   0.037062   0.010726   0.047788  -0.000000  -0.000000  -3.641123   0.000000   0.000000   55.6000     2.5101
    8.200     0.000   1.108870   0.038230   0.010926   0.049156  -0.000000  -0.000000  -3.697207   0.000000   0.000000   55.6000     2.5093
    8.400     0.000   1.126001   0.039415   0.011119   0.050534  -0.000000  -0.000000  -3.753204   0.000000   0.000000   55.6000     2.5085
    8.600     0.000   1.143108   0.040615   0.011317   0.051932  -0.000000  -0.000000  -3.809113   0.000000   0.000000   55.6000     2.5077
    8.800     0.000   1.160189   0.041831   0.011534   0.053365  -0.000000  -0.000000  -3.864929   0.000000   0.000000   55.6000     2.5070
    9.000     0.000   1.177244   0.043063   0.011743   0.054806  -0.000000  -0.000000  -3.920650   0.000000   0.000000   55.6000     2.5064
    9.200     0.000   1.194274   0.044310   0.011949   0.056259  -0.000000  -0.000000  -3.976273   0.000000   0.000000   55.6000     2.5058
    9.400     0.000   1.211278   0.045573   0.012171   0.057744  -0.000000  -0.000000  -4.031796   0.000000   0.000000   55.6000     2.5052
    9.600     0.000   1.228254   0.046851   0.012415   0.059266  -0.000000  -0.000000  -4.087218   0.000000   0.000000   55.6000     2.5047
    9.800     0.000   1.245204   0.048144   0.012664   0.060808  -0.000000  -0.000000  -4.142533   0.000000   0.000000   55.6000     2.5042
   10.000     0.000   1.262126   0.049452   0.012906   0.062358  -0.000000  -0.000000  -4.197740   0.000000   0.000000   55.6000     2.5037
   10.200     0.000   1.279020   0.050775   0.013158   0.063934  -0.000000  -0.000000  -4.252836   0.000000   0.000000   55.6000     2.5033
   10.400     0.000   1.295886   0.052113   0.013425   0.065538  -0.000000  -0.000000  -4.307820   0.000000   0.000000   55.6000     2.5029
   10.600     0.000   1.312724   0.053465   0.013724   0.067189  -0.000000  -0.000000  -4.362690   0.000000   0.000000   55.6000     2.5026
   10.800     0.000   1.329533   0.054832   0.014042   0.068874  -0.000000  -0.000000  -4.417442   0.000000   0.000000   55.6000     2.5023
   11.000     0.000   1.346312   0.056213   0.014350   0.070563  -0.000000  -0.000000  -4.472073   0.000000   0.000000   55.6000     2.5020
   11.200     0.000   1.363062   0.057608   0.014669   0.072277  -0.000000  -0.000000  -4.526583   0.000000   0.000000   55.6000     2.5017
   11.400     0.000   1.379782   0.059017   0.015000   0.074017  -0.000000  -0.000000  -4.580967   0.000000   0.000000   55.6000     2.5015
   11.600     0.000   1.396471   0.060440   0.015356   0.075795  -0.000000  -0.000000  -4.635224   0.000000   0.000000   55.6000     2.5013
   11.800     0.000   1.413130   0.061876   0.015756   0.077632  -0.000000  -0.000000  -4.689354   0.000000   0.000000   55.6000     2.5012
   12.000     0.000   1.429758   0.063326   0.016163   0.079490  -0.000000  -0.000000  -4.743353   0.000000   0.000000   55.6000     2.5010
   12.200     0.000   1.446354   0.064789   0.016571   0.081361  -0.000000  -0.000000  -4.797218   0.000000   0.000000   55.6000     2.5009
   12.400     0.000   1.462918   0.066266   0.017001   0.083267  -0.000000  -0.000000  -4.850943   0.000000   0.000000   55.6000     2.5008
   12.600     0.000   1.479451   0.067755   0.017485   0.085240  -0.000000  -0.000000  -4.904531   0.000000   0.000000   55.6000     2.5008
   12.800     0.000   1.495951   0.069257   0.017986   0.087243  -0.000000  -0.000000  -4.957978   0.000000   0.000000   55.6000     2.5008
   13.000     0.000   1.512418   0.070772   0.018507   0.089279  -0.000000  -0.000000  -5.011284   0.000000   0.000000   55.6000     2.5008
   13.200     0.000   1.528852   0.072299   0.019115   0.091414  -0.000000  -0.000000  -5.064451   0.000000   0.000000   55.6000     2.5008
   13.400     0.000   1.545253   0.073839   0.019764   0.093603  -0.000000  -0.000000  -5.117473   0.000000   0.000000   55.6000     2.5008
   13.600     0.000   1.561620   0.075390   0.020517   0.095907  -0.000000  -0.000000  -5.170346   0.000000   0.000000   55.6000     2.5009
   13.800     0.000   1.577952   0.076954   0.021323   0.098277  -0.000000  -0.000000  -5.223067   0.000000   0.000000   55.6000     2.5010
   14.000     0.000   1.594251   0.078529   0.022296   0.100825  -0.000000  -0.000000  -5.275643   0.000000   0.000000   55.6000     2.5011
   14.200     0.000   1.610514   0.080116   0.023345   0.103461  -0.000000  -0.000000  -5.328069   0.000000   0.000000   55.6000     2.5012
   14.400     0.000   1.626742   0.081714   0.024701   0.106415  -0.000000  -0.000000  -5.380359   0.000000   0.000000   55.6000     2.5014


