xflr5 v6.59

Plane name :        Volde h =2.6
Polar name :        T1-55.6 m/s-VLM1-0.0kg-x0.0m
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.218279   0.001280   0.005425   0.006705   0.000000  -0.000000  -0.820214  -0.000000  -0.000000   55.6000     2.9350
   -1.800     0.000   0.236670   0.001501   0.005287   0.006788   0.000000  -0.000000  -0.881921  -0.000000  -0.000000   55.6000     2.9028
   -1.600     0.000   0.255057   0.001740   0.005181   0.006921   0.000000  -0.000000  -0.943781  -0.000000  -0.000000   55.6000     2.8752
   -1.400     0.000   0.273440   0.001997   0.005105   0.007102   0.000000  -0.000000  -1.005798  -0.000000  -0.000000   55.6000     2.8513
   -1.200     0.000   0.291817   0.002271   0.005054   0.007325   0.000000  -0.000000  -1.067965  -0.000000  -0.000000   55.6000     2.8305
   -1.000     0.000   0.310190   0.002564   0.005022   0.007586   0.000000  -0.000000  -1.130264  -0.000000  -0.000000   55.6000     2.8122
   -0.800     0.000   0.328557   0.002873   0.005005   0.007879   0.000000  -0.000000  -1.192709  -0.000000  -0.000000   55.6000     2.7959
   -0.600     0.000   0.346918   0.003201   0.004999   0.008200   0.000000  -0.000000  -1.255310  -0.000000  -0.000000   55.6000     2.7813
   -0.400     0.000   0.365273   0.003546   0.004998   0.008544   0.000000  -0.000000  -1.318078  -0.000000  -0.000000   55.6000     2.7683
   -0.200     0.000   0.383621   0.003909   0.005000   0.008909   0.000000  -0.000000  -1.381024  -0.000000  -0.000000   55.6000     2.7565
    0.000     0.000   0.401962   0.004289   0.005005   0.009294   0.000000  -0.000000  -1.444132  -0.000000  -0.000000   55.6000     2.7458
    0.200     0.000   0.420295   0.004687   0.005014   0.009701   0.000000  -0.000000  -1.507403  -0.000000  -0.000000   55.6000     2.7360
    0.400     0.000   0.438620   0.005102   0.005025   0.010127   0.000000  -0.000000  -1.570839  -0.000000  -0.000000   55.6000     2.7271
