xflr5 v6.59

Plane name :        Volde h = 2.2
Polar name :        T1-55.6 m/s-VLM1-0.0kg-x0.0m
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000   0.217191   0.001303   0.005436   0.006739  -0.000000   0.000000  -0.814765   0.000000   0.000000   55.6000     2.9186
   -1.800     0.000   0.235499   0.001529   0.005297   0.006826  -0.000000   0.000000  -0.875659   0.000000   0.000000   55.6000     2.8862
   -1.600     0.000   0.253804   0.001772   0.005192   0.006964  -0.000000   0.000000  -0.936682   0.000000   0.000000   55.6000     2.8585
   -1.400     0.000   0.272103   0.002034   0.005115   0.007148  -0.000000   0.000000  -0.997833   0.000000   0.000000   55.6000     2.8345
   -1.200     0.000   0.290399   0.002314   0.005062   0.007376  -0.000000   0.000000  -1.059109   0.000000   0.000000   55.6000     2.8135
   -1.000     0.000   0.308688   0.002612   0.005028   0.007639  -0.000000   0.000000  -1.120496   0.000000   0.000000   55.6000     2.7951
   -0.800     0.000   0.326973   0.002927   0.005008   0.007935  -0.000000   0.000000  -1.181999   0.000000   0.000000   55.6000     2.7787
   -0.600     0.000   0.345251   0.003261   0.005000   0.008261  -0.000000   0.000000  -1.243624   0.000000   0.000000   55.6000     2.7641
   -0.400     0.000   0.363523   0.003613   0.005000   0.008613  -0.000000   0.000000  -1.305382   0.000000   0.000000   55.6000     2.7509
   -0.200     0.000   0.381788   0.003983   0.005001   0.008984  -0.000000   0.000000  -1.367286   0.000000   0.000000   55.6000     2.7391
    0.000     0.000   0.400046   0.004370   0.005005   0.009375  -0.000000   0.000000  -1.429320   0.000000   0.000000   55.6000     2.7283
    0.200     0.000   0.418296   0.004776   0.005014   0.009789  -0.000000   0.000000  -1.491486   0.000000   0.000000   55.6000     2.7185
    0.400     0.000   0.436538   0.005199   0.005024   0.010223  -0.000000   0.000000  -1.553782   0.000000   0.000000   55.6000     2.7095
    0.600     0.000   0.454771   0.005640   0.005037   0.010677  -0.000000   0.000000  -1.616207   0.000000   0.000000   55.6000     2.7013
    0.800     0.000   0.472996   0.006099   0.005050   0.011150  -0.000000   0.000000  -1.678760   0.000000   0.000000   55.6000     2.6937
    1.000     0.000   0.491211   0.006576   0.005070   0.011646  -0.000000   0.000000  -1.741436  -0.000000  -0.000000   55.6000     2.6867
    1.200     0.000   0.509417   0.007070   0.005094   0.012164  -0.000000   0.000000  -1.804230  -0.000000  -0.000000   55.6000     2.6803
    1.400     0.000   0.527613   0.007582   0.005116   0.012699  -0.000000   0.000000  -1.867142  -0.000000  -0.000000   55.6000     2.6743
    1.600     0.000   0.545798   0.008112   0.005150   0.013262  -0.000000   0.000000  -1.930168  -0.000000  -0.000000   55.6000     2.6687
    1.800     0.000   0.563972   0.008659   0.005184   0.013843  -0.000000   0.000000  -1.993309  -0.000000  -0.000000   55.6000     2.6635
    2.000     0.000   0.582135   0.009224   0.005228   0.014452  -0.000000   0.000000  -2.056554  -0.000000  -0.000000   55.6000     2.6586
    2.200     0.000   0.600286   0.009806   0.005291   0.015096  -0.000000   0.000000  -2.119897  -0.000000  -0.000000   55.6000     2.6541
    2.400     0.000   0.618425   0.010405   0.005379   0.015784  -0.000000   0.000000  -2.183346  -0.000000  -0.000000   55.6000     2.6498
    2.600     0.000   0.636551   0.011022   0.005498   0.016520  -0.000000   0.000000  -2.246896  -0.000000  -0.000000   55.6000     2.6458
    2.800     0.000   0.654665   0.011656   0.005647   0.017303  -0.000000   0.000000  -2.310526  -0.000000  -0.000000   55.6000     2.6420
    3.000     0.000   0.672765   0.012307   0.005802   0.018109  -0.000000   0.000000  -2.374250  -0.000000  -0.000000   55.6000     2.6385
    3.200     0.000   0.690851   0.012975   0.005966   0.018941  -0.000000   0.000000  -2.438052  -0.000000  -0.000000   55.6000     2.6352
    3.400     0.000   0.708923   0.013661   0.006147   0.019808  -0.000000   0.000000  -2.501916  -0.000000  -0.000000   55.6000     2.6321
    3.600     0.000   0.726981   0.014363   0.006356   0.020719  -0.000000   0.000000  -2.565813  -0.000000  -0.000000   55.6000     2.6291
    3.800     0.000   0.745023   0.015083   0.006591   0.021673  -0.000000   0.000000  -2.629724  -0.000000  -0.000000   55.6000     2.6263
    4.000     0.000   0.763051   0.015819   0.006837   0.022656  -0.000000   0.000000  -2.693661  -0.000000  -0.000000   55.6000     2.6237
    4.200     0.000   0.781062   0.016572   0.007088   0.023660  -0.000000   0.000000  -2.757657  -0.000000  -0.000000   55.6000     2.6212
