xflr5 v6.59

Plane name :        Volde h =3.0
Polar name :        T1-55.6 m/s-VLM1-0.0kg-x0.0m
Freestream speed :  55.600 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    7.000     0.000   1.040475   0.027773   0.010159   0.037932  -0.000000  -0.000000  -3.800759   0.000000   0.000000   55.6000     2.6320
    7.200     0.000   1.058365   0.028730   0.010341   0.039072  -0.000000  -0.000000  -3.869999   0.000000   0.000000   55.6000     2.6308
    7.400     0.000   1.076232   0.029702   0.010534   0.040236  -0.000000  -0.000000  -3.939333   0.000000   0.000000   55.6000     2.6298
    7.600     0.000   1.094077   0.030689   0.010711   0.041400  -0.000000  -0.000000  -4.008789   0.000000   0.000000   55.6000     2.6288
    7.800     0.000   1.111900   0.031690   0.010905   0.042595  -0.000000  -0.000000  -4.078323   0.000000   0.000000   55.6000     2.6278
    8.000     0.000   1.129700   0.032706   0.011090   0.043796  -0.000000  -0.000000  -4.147945   0.000000   0.000000   55.6000     2.6269
    8.200     0.000   1.147477   0.033736   0.011279   0.045015  -0.000000  -0.000000  -4.217660   0.000000   0.000000   55.6000     2.6261
    8.400     0.000   1.165230   0.034780   0.011475   0.046255  -0.000000  -0.000000  -4.287426   0.000000   0.000000   55.6000     2.6253
    8.600     0.000   1.182959   0.035838   0.011664   0.047502  -0.000000  -0.000000  -4.357272   0.000000   0.000000   55.6000     2.6246
    8.800     0.000   1.200664   0.036910   0.011872   0.048782  -0.000000  -0.000000  -4.427177   0.000000   0.000000   55.6000     2.6238
    9.000     0.000   1.218344   0.037996   0.012099   0.050095  -0.000000  -0.000000  -4.497132   0.000000   0.000000   55.6000     2.6232
    9.200     0.000   1.235999   0.039096   0.012316   0.051412  -0.000000  -0.000000  -4.567147   0.000000   0.000000   55.6000     2.6226
    9.400     0.000   1.253629   0.040209   0.012547   0.052756  -0.000000  -0.000000  -4.637198   0.000000   0.000000   55.6000     2.6220
    9.600     0.000   1.271233   0.041336   0.012792   0.054128  -0.000000  -0.000000  -4.707307   0.000000   0.000000   55.6000     2.6214
